primary_domain,Avg_Engagement,Median_Engagement,Post_Count,Avg_Likes,Avg_Shares,Avg_Comments
sr.a16z.com),1839.56,2300.0,9,1509.22,121.78,208.56
vercel.com,981.0,981.0,1,915.0,58.0,8.0
adobe.ly,558.0,558.0,5,453.0,62.0,43.0
lnkd.in,439.58,138.0,2589,389.68,22.38,27.52
bit.ly,386.31,214.0,143,322.02,38.32,25.97
t.co,322.67,148.0,3,287.0,7.67,28.0
resend.com,167.75,81.0,4,154.25,2.5,11.0
tech-week.com,150.57,151.0,7,123.29,6.0,21.29
exa.ai,147.4,63.0,5,132.6,5.4,9.4
luma.com,110.92,70.0,12,99.17,6.25,5.5
speedrun.a16z.com,63.4,54.0,5,56.0,1.2,6.2
lu.ma,56.7,40.5,30,49.47,4.1,3.13
