Emoji,Count,Avg_Engagement,Median_Engagement,Avg_Likes,Avg_Shares,Avg_Comments
⚡,473,617.14,157.0,547.22,40.96,28.97
🌍,68,583.93,183.5,530.6,20.04,33.28
👋,137,566.21,325.0,471.05,56.54,38.61
🧠,72,503.8,158.0,452.39,17.88,33.52
⬇️,68,496.77,100.0,440.84,23.76,32.18
🤯,77,427.72,75.5,372.14,16.93,38.65
🎮,52,406.88,229.0,334.67,31.96,40.24
🎉,100,378.55,165.5,315.42,27.83,35.3
❤️,107,368.76,127.0,329.7,12.83,26.22
📣,66,363.08,175.0,304.58,26.95,31.55
🙏,79,359.33,180.5,293.61,20.03,45.69
🤝,110,357.78,177.0,310.74,18.29,28.75
💡,155,356.2,96.0,319.35,14.9,21.94
🚨,227,349.4,178.0,310.29,14.79,24.33
️,491,346.41,141.0,292.29,17.17,36.95
💻,51,330.1,149.0,291.04,12.98,26.08
📢,51,327.89,238.0,273.59,17.05,37.25
💰,78,327.36,178.0,287.94,11.64,27.79
👇,490,312.82,153.5,269.14,12.87,30.81
🇺🇸,81,292.72,138.0,262.78,8.46,21.48
📈,134,283.83,114.0,242.14,14.27,27.43
👀,130,282.15,121.0,238.87,16.69,26.59
🚀,696,276.58,115.5,240.11,10.41,26.06
🤖,128,270.41,104.0,233.55,11.08,25.78
📍,101,256.49,107.0,221.81,16.08,18.6
👉,289,256.33,140.0,214.27,15.96,26.1
📊,52,240.77,119.5,203.12,11.54,26.1
🙌,84,236.94,87.5,204.53,7.86,24.55
✅,465,232.89,84.0,193.51,14.56,24.83
➡️,137,229.0,83.0,192.35,21.29,15.35
🔹,151,221.66,103.5,184.71,13.08,23.87
💥,72,206.79,106.0,176.34,13.59,16.85
✨,242,205.69,138.0,174.3,12.27,19.11
🔗,165,204.01,96.0,171.57,16.5,15.94
👏,104,195.33,96.0,170.49,9.7,15.14
🔥,330,177.84,67.0,152.52,7.37,17.94
🌟,100,169.43,100.0,140.43,8.98,20.02
📅,55,97.21,66.0,82.77,5.81,8.63
