Keyword,TF-IDF_Score
ai,17.85420164809813
https,9.525629390239622
https lnkd,8.71871039951698
lnkd,8.71871039951698
team,7.855224064762482
founders,7.112678150292556
new,6.824309837453292
just,6.778147732801091
like,6.337818298609007
time,5.867704593375468
need,5.75943553999358
data,5.6078503321942
world,5.54140255949193
future,5.478095626732707
building,5.153084953953826
founder,4.964949300379211
companies,4.927848801386274
partner,4.771235714038213
built,4.707665644715097
ve,4.59237536368949
company,4.496484634744499
build,4.269645907682905
today,4.1663079492504185
lightspeed,4.150450538557914
work,3.866614847775385
systems,3.8186742744308844
tech,3.8019057264778566
product,3.7659465740185145
make,3.7591944854832655
model,3.7288079865819235
tools,3.6372007579793
comments,3.5843716578718556
years,3.5785190812713825
real,3.31611161255055
teams,3.263186430016528
business,3.002876631718725
scale,2.894989813169457
help,2.8247717589826276
great,2.7315835160537145
day,2.386284650897741
hard,2.339342432455779
early,2.223089944419294
