Person,Mention_Count
Jordan Mazer,154
Jordan Carver,146
Guru Chahal,134
Andrew Chen,127
Harry Stebbings,69
Troy Kirwin,56
Erin Price-Wright,56
Nnamdi Iregbulem,52
Samira Behrouzan,50
Katherine Boyle,50
Bryan Kim,50
David Ulevitch,47
Ravi Mhatre,47
Bella Nazzari,46
Jonathan Lai,46
Seema Amble,44
Jennifer Li,42
Macy Mills,41
Mati Staniszewski,40
Jensen Huang,40
Ilan Twig,40
Andrew Lee,39
Yoko Li,38
Kieran Hill,38
Dylan Field,37
Lester Chen,36
David Haber,36
Paul Bonnet,35
Paul Murphy,34
Cecilia Z.,34
